ID,Marks(Out of 300)
2017B3A80520P,103
2018A3PS0384P,101
2017B3A30560P,100
2018A3PS0382P,98
2017B5A30912P,98
2017B3A30591P,96
2018A8PS0442P,96
2018A8PS0041P,95
2018A3PS0867P,94
2017B4A80784P,91
2018A3PS0336P,88
2018A8PS0008P,85
2018A3PS0385P,83
2018A8PS0451P,82
2018A3PS0416P,81
2018A8PS0452P,63
2018A3PS0400P,62
2017B1A30888P,58
2018A8PS0468P,58
2015B2A30847P,53
2017A4PS0173P,53
2018A8PS0806P,47
2018A8PS0353P,44
2018A3PS1106P,36
2017A3PS0296P,27
2017A8PS0435P,18
2018A8PS0767P,11
2017A4PS0396P,0
